PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 910 900 901 902 903 904 905 906 907 930 931 932 940 941 942 
1.91781E+00 4.01179E-01 3.02699E-01 1.91780E+00 4.01178E-01 1.70616E+00 3.83193E-01 -1.99804E+01 2.23635E+00 4.10630E-01 -1.98140E+02 5.90882E+00 3.28173E-01 -1.58921E+05 5.90611E+00 3.27929E-01 1.58089E+05 
1.90526E+00 3.75820E-01 2.63323E-01 1.90525E+00 3.75819E-01 1.69762E+00 3.60015E-01 -5.41214E+00 2.24259E+00 3.95825E-01 -1.95152E+02 6.04577E+00 4.04168E-01 -2.02971E+05 6.04302E+00 4.03930E-01 2.02178E+05 
1.93179E+00 3.67373E-01 2.27453E-01 1.93178E+00 3.67372E-01 1.72096E+00 3.49678E-01 1.01225E+01 2.29065E+00 3.96750E-01 -1.91783E+02 6.30431E+00 5.21791E-01 -2.39151E+05 6.30151E+00 5.21559E-01 2.38402E+05 
2.01465E+00 3.78081E-01 1.95678E-01 2.01464E+00 3.78079E-01 1.78729E+00 3.53686E-01 2.67805E+01 2.39410E+00 4.15174E-01 -1.87964E+02 6.72889E+00 6.86144E-01 -2.40363E+05 6.72603E+00 6.85916E-01 2.39661E+05 
2.14322E+00 4.02413E-01 1.68640E-01 2.14320E+00 4.02411E-01 1.89335E+00 3.69860E-01 4.43919E+01 2.55067E+00 4.49044E-01 -1.83830E+02 7.30639E+00 8.87938E-01 -2.41536E+05 7.30349E+00 8.87715E-01 2.40883E+05 
2.32500E+00 4.42028E-01 1.47203E-01 2.32497E+00 4.42024E-01 2.04562E+00 3.99653E-01 6.29973E+01 2.76917E+00 5.00290E-01 -1.79361E+02 8.06337E+00 1.13271E+00 -2.42667E+05 8.06041E+00 1.13249E+00 2.42068E+05 
2.56832E+00 4.98574E-01 1.32565E-01 2.56828E+00 4.98568E-01 2.25137E+00 4.44508E-01 8.26409E+01 3.05940E+00 5.70851E-01 -1.74537E+02 9.02968E+00 1.42623E+00 -2.43755E+05 9.02666E+00 1.42602E+00 2.43213E+05 
2.80467E+00 5.54966E-01 1.27012E-01 2.80462E+00 5.54957E-01 2.45234E+00 4.90440E-01 9.85815E+01 3.34010E+00 6.39910E-01 -1.70547E+02 9.94215E+00 1.69054E+00 -2.44567E+05 9.93908E+00 1.69033E+00 2.44070E+05 
2.88247E+00 5.73655E-01 1.26522E-01 2.88241E+00 5.73645E-01 2.51864E+00 5.05823E-01 1.03368E+02 3.43233E+00 6.62626E-01 -1.69335E+02 1.02389E+01 1.77439E+00 -2.44799E+05 1.02358E+01 1.77418E+00 2.44316E+05 
3.31255E+00 6.77125E-01 1.32938E-01 3.31245E+00 6.77108E-01 2.88622E+00 5.91900E-01 1.26987E+02 3.94124E+00 7.87439E-01 -1.63276E+02 1.18583E+01 2.21775E+00 -2.45873E+05 1.18552E+01 2.21755E+00 2.45458E+05 
3.85180E+00 8.05664E-01 1.58685E-01 3.85165E+00 8.05636E-01 3.34874E+00 7.00185E-01 1.51984E+02 4.57803E+00 9.41151E-01 -1.56719E+02 1.38580E+01 2.73855E+00 -2.46891E+05 1.38548E+01 2.73835E+00 2.46550E+05 
4.51699E+00 9.60819E-01 2.14380E-01 4.51675E+00 9.60771E-01 3.92090E+00 8.32039E-01 1.78428E+02 5.36256E+00 1.12566E+00 -1.49629E+02 1.62991E+01 3.34345E+00 -2.47854E+05 1.62959E+01 3.34326E+00 2.47591E+05 
5.32726E+00 1.14388E+00 3.19325E-01 5.32685E+00 1.14379E+00 4.61954E+00 9.88610E-01 2.06388E+02 6.31754E+00 1.34258E+00 -1.41970E+02 1.92519E+01 4.03838E+00 -2.48761E+05 1.92486E+01 4.03819E+00 2.48581E+05 
6.29677E+00 1.46714E+00 5.11481E-01 6.29603E+00 1.46695E+00 5.56849E+00 1.40114E+00 2.36858E+02 7.65774E+00 1.96350E+00 -1.33226E+02 2.24350E+01 4.82532E+00 -2.49523E+05 2.24316E+01 4.82514E+00 2.49435E+05 
7.45943E+00 1.73475E+00 8.61326E-01 7.45803E+00 1.73441E+00 6.70729E+00 1.66350E+00 2.69392E+02 9.26261E+00 2.33519E+00 -1.23674E+02 2.62423E+01 5.71407E+00 -2.50223E+05 2.62388E+01 5.71389E+00 2.50234E+05 
8.87364E+00 2.03701E+00 1.50908E+00 8.87085E+00 2.03633E+00 8.09341E+00 1.96014E+00 3.03921E+02 1.12124E+01 2.75378E+00 -1.13349E+02 3.08649E+01 6.71043E+00 -2.50881E+05 3.08613E+01 6.71027E+00 2.50997E+05 
1.05804E+01 2.37484E+00 2.74220E+00 1.05745E+01 2.37345E+00 9.76726E+00 2.29202E+00 3.40552E+02 1.35627E+01 3.22054E+00 -1.02193E+02 3.64348E+01 7.81805E+00 -2.51494E+05 3.64311E+01 7.81788E+00 2.51722E+05 
1.26279E+01 2.74914E+00 5.16708E+00 1.26144E+01 2.74607E+00 1.17752E+01 2.65974E+00 3.79400E+02 1.63771E+01 3.73616E+00 -9.01395E+01 4.31022E+01 9.03896E+00 -2.52061E+05 4.30984E+01 9.03880E+00 2.52410E+05 
1.50767E+01 3.16141E+00 1.00954E+01 1.50424E+01 3.15398E+00 1.41701E+01 3.06342E+00 4.20583E+02 1.97279E+01 4.30063E+00 -7.71217E+01 5.10374E+01 1.03734E+01 -2.52583E+05 5.10335E+01 1.03733E+01 2.53059E+05 
