PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-1.03528E+02 -8.20371E+01 
-1.11809E+02 -8.68862E+01 
-1.21057E+02 -9.26621E+01 
-1.31747E+02 -9.90519E+01 
-1.44125E+02 -1.06101E+02 
-1.58478E+02 -1.13854E+02 
-1.75164E+02 -1.22373E+02 
-1.94719E+02 -1.31781E+02 
-2.18258E+02 -1.42467E+02 
-2.48872E+02 -1.55721E+02 
-2.94755E+02 -1.75015E+02 
-3.67910E+02 -2.04768E+02 
-4.65692E+02 -2.41809E+02 
-5.66587E+02 -2.75450E+02 
-5.60700E+01 -4.34887E+01 
-5.78305E+01 -4.47963E+01 
-6.03159E+01 -4.72223E+01 
-6.24777E+01 -4.88950E+01 
-6.47861E+01 -5.07067E+01 
-6.72744E+01 -5.26849E+01 
-6.99850E+01 -5.48587E+01 
-7.22669E+01 -5.66936E+01 
-7.29690E+01 -5.72575E+01 
-7.65635E+01 -6.01300E+01 
-8.06376E+01 -6.33345E+01 
-8.52967E+01 -6.69055E+01 
-9.06614E+01 -7.08749E+01 
-9.78347E+01 -7.49202E+01 
-1.05866E+02 -7.97745E+01 
-1.15128E+02 -8.51243E+01 
-1.25824E+02 -9.10007E+01 
-1.38191E+02 -9.74348E+01 
-1.52526E+02 -1.04468E+02 
-1.69273E+02 -1.12196E+02 
-1.89369E+02 -1.20926E+02 
-2.15445E+02 -1.31709E+02 
-2.54472E+02 -1.47359E+02 
-3.16607E+02 -1.71405E+02 
-3.99396E+02 -2.01113E+02 
-4.84349E+02 -2.27721E+02 
-4.88329E+01 -3.77470E+01 
-5.03721E+01 -3.88677E+01 
-5.26088E+01 -4.09578E+01 
-5.45072E+01 -4.23916E+01 
-5.65349E+01 -4.39473E+01 
-5.87225E+01 -4.56479E+01 
-6.11074E+01 -4.75169E+01 
-6.31167E+01 -4.90935E+01 
-6.37350E+01 -4.95777E+01 
-6.69018E+01 -5.20413E+01 
-7.04910E+01 -5.47824E+01 
-7.45926E+01 -5.78268E+01 
-7.93087E+01 -6.11975E+01 
-8.55137E+01 -6.45560E+01 
-9.24808E+01 -6.86195E+01 
-1.00495E+02 -7.30803E+01 
-1.09724E+02 -7.79589E+01 
-1.20363E+02 -8.32750E+01 
-1.32657E+02 -8.90559E+01 
-1.46973E+02 -9.53721E+01 
-1.64102E+02 -1.02468E+02 
-1.86273E+02 -1.11188E+02 
-2.19416E+02 -1.23800E+02 
-2.72108E+02 -1.43091E+02 
-3.42083E+02 -1.66726E+02 
-4.13469E+02 -1.87576E+02 
-4.24894E+01 -3.27932E+01 
-4.38364E+01 -3.37491E+01 
-4.58431E+01 -3.55438E+01 
-4.75110E+01 -3.67669E+01 
-4.92931E+01 -3.80968E+01 
-5.12170E+01 -3.95524E+01 
-5.33160E+01 -4.11524E+01 
-5.50854E+01 -4.25013E+01 
-5.56300E+01 -4.29154E+01 
-5.84194E+01 -4.50194E+01 
-6.15798E+01 -4.73541E+01 
-6.51876E+01 -4.99383E+01 
-6.93288E+01 -5.27878E+01 
-7.46876E+01 -5.55622E+01 
-8.07221E+01 -5.89499E+01 
-8.76450E+01 -6.26540E+01 
-9.55948E+01 -6.66869E+01 
-1.04732E+02 -7.10595E+01 
-1.15255E+02 -7.57884E+01 
-1.27471E+02 -8.09245E+01 
-1.42041E+02 -8.66591E+01 
-1.60857E+02 -9.36670E+01 
-1.88952E+02 -1.03755E+02 
-2.33557E+02 -1.19104E+02 
-2.92589E+02 -1.37734E+02 
